Year,Total_Cognizable_Crimes,Total_Murder,Total_Rape,Total_Burglary,Total_Theft,Total_Robbery,Total_Riots,Total_Criminal_Breach_of_Trust_(as_Cheating)
2001,2.67154e+06,75322,20446,66896,162214,29523,398366,15651
2002,2.69654e+06,75027,21236,64678,163915,27577,374999,15511
2003,2.51053e+06,65996,19994,61397,159518,26336,324004,15155
2004,2.66091e+06,66215,22489,64455,186005,27690,334539,15558
2005,2.62155e+06,65501,23212,67022,208670,27990,320873,15812
2006,2.65368e+06,63069,23792,67123,199228,28755,302874,15177
2007,2.78056e+06,63269,25363,67060,194182,29820,314946,18457
2008,2.88229e+06,61455,25036,67836,208311,31684,332934,19895
2009,2.84902e+06,62665,25845,68455,194348,33259,303602,19595
2010,2.94712e+06,62466,27074,68292,194066,35128,318915,20438
2011,2325575,34305,24206,113795,339179,34233,66080,17255
2012,2387188,34434,24923,112108,350190,34591,74229,17697
2013,2647722,33201,33707,119696,372622,38883,72126,19627
2014,2851563,33981,36735,114646,440915,38071,66042,19982
2015,2949400,32127,34651,114123,467833,36188,65255,19218
2016,4831515,30450,38947.0,109608,479090,37339,61974.0,18962
2017,5007044,28653,32559.0,100877,501920,34893,58880.0,20942
2018,5074634,29013,33356.0,96369,512530,31920,57828.0,20793
2019,5156000.0,28915,32033.0,90989,504353,30573,46209.0,20833.0
2020,6601285.0,29193.0,28046.0,73815,466851,29018,51606.0,19447
2021,6096310.0,29272.0,31677.0,66436,439066,26280,43798,21241.0
2022,5824946.0,28522.0,31516.0,64510,445156,25227,41190,21814.0
